year,mileage,rough_scale,torque_scale,stop_scale,cv_wellness,wb_wellness,brk_wellness
2016,220042,0.62,0.28,0.06,32.17,40.66,12.3
2013,177445,0.77,0.7,0.58,40.3,49.36,15.25
2014,122334,0.63,0.26,0.07,48.7,67.86,55.66
2013,177177,0.74,0.62,0.74,39.7,50.51,9.22
2006,220293,0.91,0.64,0.48,16.33,30.12,5.0
2011,180085,0.21,0.6,0.61,45.11,59.96,13.36
2014,21664,0.35,0.42,0.29,97.93,87.45,87.2
2022,37738,0.66,0.83,0.4,75.95,77.11,76.09
2015,38303,0.25,0.31,0.88,94.05,87.61,66.89
2003,224234,0.19,0.24,0.85,37.65,38.2,5.0
2003,59640,0.89,0.09,0.95,77.05,73.13,62.93
2001,11922,0.4,0.34,0.15,87.82,94.03,99.38
2001,99393,0.29,0.01,0.21,69.06,77.47,54.27
2024,192506,0.38,0.16,0.66,47.7,50.05,10.37
2020,200061,0.56,0.14,0.5,36.6,40.61,7.08
2021,159391,0.46,0.17,0.38,54.87,47.72,27.08
2013,34160,0.42,0.19,0.93,90.68,80.01,68.68
2017,32594,0.48,0.32,0.91,79.03,78.1,71.3
2003,104668,0.14,0.81,0.91,58.83,72.53,39.8
2018,245351,0.32,0.1,0.55,26.42,24.88,5.0
2016,206619,0.1,0.99,0.63,19.91,55.99,7.54
2004,41701,0.91,0.49,0.72,81.84,71.48,73.02
2016,80117,0.64,0.17,0.01,69.77,70.42,66.6
2022,180188,0.55,0.84,0.74,33.77,32.95,13.92
2012,63417,0.51,0.05,0.71,78.05,79.33,62.23
2023,161354,0.56,0.16,0.96,54.35,53.84,18.01
2011,13630,0.35,0.73,0.15,86.7,89.62,94.2
2010,237854,0.3,0.13,0.87,27.75,39.72,5.0
2016,126664,0.63,0.11,0.02,58.52,60.7,42.95
2006,65070,0.58,0.26,0.66,79.77,81.07,52.56
2008,164923,0.52,0.12,0.56,56.09,57.36,21.41
2005,114562,0.96,0.67,0.87,61.17,61.11,36.04
2007,85762,0.34,0.05,0.45,75.37,71.03,61.12
2010,73233,0.37,0.83,0.53,69.64,75.55,58.69
2012,37480,0.92,0.13,0.92,85.24,78.24,69.23
2022,188754,0.1,0.08,0.26,49.9,55.39,13.26
2008,141678,0.41,0.94,0.44,43.76,54.68,36.61
2012,79001,0.14,0.19,0.96,76.71,85.16,42.09
2010,229278,0.56,0.06,0.64,28.37,35.94,5.0
2021,163976,0.44,0.7,0.26,34.96,45.78,24.46
2012,239735,0.69,0.93,0.14,17.22,26.09,12.55
