year,mileage,temp_scale,habit_scale,idle_scale,bat_wellness,alt_wellness,sta_wellness
2000,221388,0.45,0.02,0.25,5.0,31.24,27.4
2004,158373,0.15,0.35,0.93,5.0,41.75,26.48
2019,192660,0.29,0.51,0.47,49.96,35.64,63.78
2003,88999,0.25,0.95,0.74,5.0,58.73,30.12
2006,211755,0.88,0.07,0.81,5.0,40.39,39.92
2005,111368,0.18,0.29,0.58,5.0,59.36,38.61
2015,159885,0.33,0.3,0.99,26.1,45.82,53.35
2005,240101,0.72,0.78,0.67,5.0,18.71,17.48
2006,85279,0.19,0.52,0.59,5.0,61.36,36.44
2021,87032,0.15,0.63,0.48,68.62,65.51,72.01
2011,179137,0.65,0.3,0.98,5.0,32.7,53.82
2007,108603,0.17,0.78,0.71,5.0,61.5,39.48
2024,177274,0.79,0.61,0.07,73.74,53.71,84.32
2011,7213,0.71,0.91,0.82,12.67,77.87,50.89
2006,58500,0.77,0.97,0.16,5.0,78.3,39.45
2004,109880,0.65,0.35,0.15,5.0,55.61,33.85
2003,28515,0.64,0.07,0.53,5.0,84.11,41.11
2004,124825,0.45,0.42,0.44,5.0,60.1,24.3
2008,194097,0.91,0.97,0.92,5.0,33.86,25.8
2006,156670,0.97,0.87,0.28,5.0,45.67,21.27
2022,198433,0.41,0.55,0.44,56.15,31.66,69.46
2018,211106,0.13,0.51,0.34,57.3,39.88,61.41
2013,185231,0.22,0.29,0.16,21.94,51.81,56.47
2013,206426,0.99,0.4,0.55,5.0,29.01,45.24
2020,174337,0.93,0.35,0.65,43.74,34.6,75.28
2001,169171,0.23,0.84,0.03,5.0,59.17,5.0
2017,136225,0.64,0.74,0.5,41.81,59.57,62.11
2010,75551,0.9,0.8,0.93,5.0,49.74,47.45
2018,40682,0.47,0.78,0.77,47.83,79.96,58.68
2012,148621,0.34,0.39,0.56,22.45,43.95,42.0
2018,213150,0.83,0.08,0.15,39.19,36.23,61.45
2020,87151,0.22,0.33,0.37,63.61,69.97,76.23
2015,116486,0.68,0.19,0.35,34.09,54.45,54.45
2007,72009,0.98,0.82,0.6,5.0,71.07,33.81
2001,246852,0.28,0.49,0.24,5.0,28.09,12.91
2009,45156,0.59,0.33,0.75,5.0,73.27,56.25
2004,30896,0.62,0.15,0.07,5.0,86.97,44.61
2020,218580,0.61,0.21,0.86,50.76,25.48,61.79
2008,204672,0.75,0.58,0.33,5.0,27.05,34.8
2002,229795,0.16,0.33,0.81,5.0,33.02,17.82
2013,209248,0.99,0.45,0.82,5.0,22.85,45.2
2004,101860,0.47,0.04,0.46,5.0,60.57,33.13
2013,246638,0.3,0.78,0.72,23.98,26.75,37.36
2011,199764,0.92,0.88,0.54,5.0,34.09,41.27
2016,87835,0.02,0.99,0.73,45.21,66.1,53.31
2011,43939,0.85,0.96,0.58,5.0,76.71,49.78
2007,99906,0.63,0.02,0.33,5.0,69.47,37.71
2023,227370,0.39,0.22,0.65,63.3,41.53,83.77
2005,103058,0.6,0.33,0.21,5.0,70.09,36.27
2014,48025,0.28,0.96,0.71,33.56,74.35,60.04
2018,211821,0.76,0.33,0.28,34.38,38.05,62.69
2024,83214,0.09,0.06,0.88,83.64,67.47,88.3
2022,217716,0.39,0.66,0.42,60.3,37.56,71.56
2017,163892,0.2,0.02,0.9,45.16,41.86,58.84
2013,206772,0.03,0.82,0.36,31.09,54.32,38.36
2004,176287,0.36,0.57,0.92,5.0,42.66,21.41
2023,119373,0.19,0.55,0.9,75.57,54.09,80.08
2006,13629,0.28,0.1,0.17,5.83,88.19,56.95
2005,227272,0.74,0.99,0.14,5.0,30.79,15.06
2005,207631,0.01,0.41,0.65,5.0,38.54,31.41
2015,203782,0.05,0.41,0.28,37.11,34.37,58.57
2000,16113,0.85,0.54,0.56,5.0,85.54,22.36
2022,118548,0.74,0.04,0.64,70.3,39.99,84.0
2002,112256,0.13,0.28,0.53,5.0,55.38,29.4
2008,239594,0.34,0.57,0.13,5.0,41.46,30.0
2019,108880,0.89,0.12,0.73,37.21,54.51,70.27
2021,124121,0.52,0.6,0.72,57.02,53.28,69.7
2018,36370,0.16,0.79,0.78,49.3,76.98,69.79
2014,145415,0.83,0.19,0.3,16.98,50.78,55.31
2013,76615,0.14,0.04,0.07,25.83,76.32,58.02
2019,183323,0.48,0.42,0.12,42.53,46.13,70.38
2023,201805,0.98,0.68,0.52,55.32,32.25,68.64
2007,15131,0.82,0.6,0.54,5.0,88.34,38.61
2022,58448,0.74,0.17,0.2,64.15,76.53,77.77
2007,157910,0.96,0.71,0.72,5.0,33.96,37.23
2000,59985,0.31,0.67,0.65,5.0,65.47,19.75
2017,131246,0.73,0.46,0.07,36.39,16.83,56.78
2012,66872,0.87,0.96,0.41,14.53,64.44,45.04
2009,43331,0.74,0.22,0.05,5.0,78.25,48.43
2010,84280,0.33,0.36,0.69,11.74,66.35,48.9
2005,230758,0.07,0.11,0.63,5.0,28.22,38.6
2006,245246,0.79,0.66,0.14,5.0,27.96,19.83
2013,158489,0.84,0.95,0.32,16.5,46.72,47.19
2005,1777,0.76,0.81,0.75,5.0,73.73,30.51
2009,228180,0.13,0.57,0.66,6.19,23.57,45.63
2006,193473,0.39,0.84,0.42,5.0,44.49,37.57
2007,69830,0.85,0.35,0.14,5.0,66.8,40.77
2004,36389,0.18,0.24,0.47,5.0,79.75,35.49
2020,95484,0.54,0.84,0.99,61.72,63.96,68.25
2003,220270,0.53,0.87,0.07,5.0,37.25,15.34
2019,213566,0.66,0.69,0.94,44.59,29.89,51.28
2000,218548,0.92,0.35,0.89,5.0,21.87,18.47
2021,168010,0.94,0.16,0.45,38.12,40.43,77.37
2023,38565,0.55,0.65,0.07,77.27,79.24,77.16
2014,111269,0.46,0.89,0.72,24.8,59.14,49.56
2010,68328,0.42,0.28,0.0,15.2,78.71,49.19
2021,166929,0.59,0.63,0.86,63.48,46.86,65.54
2020,9109,0.11,0.39,0.53,56.73,83.22,87.02
2004,44285,1.0,0.92,0.96,5.0,61.91,20.89
2015,221477,0.98,0.02,0.22,18.74,24.55,55.05
2002,225295,0.47,0.61,0.98,5.0,24.14,13.52
2015,68920,0.88,0.98,0.21,22.04,66.59,38.98
2006,245702,0.67,0.48,0.75,5.0,26.65,21.91
2013,240070,0.48,0.91,0.5,18.71,30.0,44.33
2024,54338,0.1,0.98,0.96,85.44,62.01,82.29
2024,14734,0.63,0.8,0.59,66.95,84.56,81.67
2003,203427,0.66,0.55,0.99,5.0,24.37,18.93
2006,118393,0.06,0.54,0.94,5.0,54.48,45.27
2004,56035,0.5,0.3,0.66,5.0,63.6,36.71
2002,156907,0.36,0.84,0.63,5.0,51.64,12.59
2001,48960,0.01,0.57,0.36,5.0,81.07,31.41
2016,144707,0.2,0.37,0.5,41.59,54.71,60.01
2004,194184,0.44,0.4,0.93,5.0,33.57,23.24
2005,77873,0.7,0.5,0.13,5.0,71.03,39.57
2005,116716,0.75,0.79,0.32,5.0,52.04,22.57
2018,195980,0.86,0.27,0.76,37.06,35.65,66.51
2019,67586,0.52,0.32,0.93,48.44,57.97,73.65
2023,175273,0.91,0.3,0.37,63.25,42.76,77.15
2021,186235,0.7,0.77,0.91,52.66,42.13,64.53
2007,200708,0.81,0.42,0.21,5.0,40.43,31.98
2012,138634,0.63,0.11,0.29,8.69,53.87,52.15
2024,52723,0.34,0.08,0.87,79.5,76.83,91.77
2002,105626,0.41,0.81,0.63,5.0,62.7,18.89
2024,167801,0.66,0.11,0.93,73.14,43.37,84.2
2001,128132,0.85,0.42,0.31,5.0,56.56,31.78
2008,210151,0.37,0.57,0.95,5.0,25.04,26.65
2016,114581,0.61,0.72,1.0,34.37,48.71,58.71
2010,212754,0.08,0.33,0.38,14.66,38.95,40.9
