year,mileage,temp_scale,idle_scale,habit_scale,coolant_wellness,ignition_wellness,fuel_wellness
2018,4020,0.56,0.22,0.56,70.64,98.22,92.67
2003,51964,0.15,0.46,0.67,36.75,79.01,87.0
2009,33674,0.26,0.51,0.2,40.51,83.91,88.78
2010,99229,0.22,0.71,0.32,22.98,76.16,75.36
2024,188905,0.38,0.51,0.35,42.87,37.4,60.74
2006,98447,1.0,0.44,0.32,8.82,60.65,70.45
2021,185199,0.81,0.95,0.71,34.01,23.98,55.28
2018,246322,0.36,0.93,0.51,19.17,15.58,45.53
2023,227144,0.24,0.74,0.75,37.43,20.45,55.68
2011,112200,0.6,0.3,0.28,25.47,58.18,70.47
2010,75260,0.86,0.6,0.48,21.15,69.4,75.38
2007,246150,0.92,0.3,0.09,5.0,15.32,40.18
2017,46342,0.25,0.59,0.33,60.36,75.33,88.21
2022,57639,0.62,0.83,0.19,52.06,80.24,76.01
2023,197339,0.05,0.03,0.46,60.48,20.32,58.99
2014,7138,0.81,0.13,0.25,52.14,90.22,84.3
2005,52581,0.87,0.18,0.95,27.41,83.13,82.88
2002,132252,0.49,0.11,0.33,8.09,45.73,66.86
2018,122673,0.54,0.21,0.75,45.41,55.35,66.66
2013,84818,0.57,0.05,0.12,43.38,66.48,70.31
2013,50322,0.99,0.28,0.88,29.24,75.08,83.81
2011,122780,0.67,0.66,0.34,22.74,61.23,72.58
2009,127642,0.91,0.98,0.67,6.27,60.82,60.12
2002,35921,0.56,0.38,0.51,15.35,74.55,82.22
2008,214296,0.75,0.23,0.15,5.0,31.22,48.48
2000,39610,0.28,0.35,0.82,20.12,79.8,86.01
2024,133248,0.32,0.03,0.08,62.4,65.26,68.14
2018,248169,0.15,0.19,0.97,29.33,9.35,54.83
2016,137295,0.83,0.74,0.82,29.8,37.69,62.49
2006,45984,0.03,0.03,0.72,41.42,78.81,90.33
2005,49729,0.24,0.55,0.9,35.76,78.16,89.62
2018,70022,0.81,0.86,0.87,39.27,63.44,78.44
2007,149036,0.75,0.39,0.81,5.0,40.28,66.88
2012,128785,0.69,0.3,0.03,20.08,60.19,68.72
2006,16779,0.56,0.93,0.43,30.25,90.19,92.14
2017,17620,0.93,0.86,0.65,38.86,85.73,89.07
2007,209614,0.61,0.46,0.59,5.0,19.53,59.15
2012,62157,0.45,0.03,0.52,46.69,65.23,76.56
2019,203498,0.1,0.1,0.4,49.87,31.15,65.71
2022,65131,0.73,0.34,0.24,63.86,86.44,78.04
2023,146367,0.69,0.73,0.9,40.92,52.55,64.11
2021,148558,0.42,0.5,0.63,43.95,47.63,60.22
2001,193317,0.77,0.72,0.12,5.0,39.03,55.22
2017,123860,0.39,0.72,0.27,47.56,54.51,68.68
2003,5866,0.43,0.08,0.26,31.71,92.06,92.85
2003,46978,0.34,0.01,0.75,23.35,80.11,86.58
2010,116011,0.77,0.4,0.15,21.88,60.87,64.53
2007,235031,0.47,0.58,0.16,5.0,22.41,50.68
2012,249052,0.02,0.25,0.24,16.85,20.27,46.22
2021,117643,0.46,0.75,0.97,55.75,48.02,73.99
2012,46582,0.41,0.51,0.62,41.92,73.34,85.43
2016,15210,0.51,0.27,0.27,69.49,94.73,100.0
2020,136975,0.37,0.15,0.89,55.66,44.69,65.87
2021,60275,0.15,0.5,0.6,71.24,63.14,85.88
2003,66276,0.4,0.32,0.32,19.57,80.82,77.99
2005,226385,0.45,0.25,0.54,5.0,21.12,41.41
2004,62293,0.11,0.37,0.2,33.36,79.45,87.14
2002,223517,0.37,0.3,0.0,5.0,29.45,44.36
2010,62061,0.72,0.27,0.79,37.35,70.49,86.33
2012,81653,0.66,0.29,0.62,34.56,66.73,76.82
2005,118453,0.32,0.94,0.46,10.63,58.82,70.68
2010,166059,0.75,0.04,0.82,16.75,26.21,70.35
2024,164922,0.87,0.01,0.38,50.13,44.05,59.68
2010,20528,0.94,0.3,0.53,38.56,87.48,85.54
2021,38361,0.45,0.69,0.14,67.52,83.18,92.17
2017,119393,0.19,0.98,0.18,50.4,56.7,67.82
2011,241944,0.2,0.1,0.39,18.03,8.37,62.18
2021,145674,0.63,0.83,0.26,42.27,44.18,71.77
2016,92295,0.5,0.65,0.77,38.59,58.91,72.49
2002,123853,0.81,0.53,0.29,5.0,54.09,62.04
2009,134098,0.47,0.87,0.69,20.78,47.62,74.2
2002,125053,0.79,0.94,0.35,5.0,51.04,62.22
2010,39720,0.22,0.21,0.53,50.09,84.49,84.77
2015,159380,0.05,0.64,0.28,41.11,42.93,64.18
2008,160502,0.67,0.25,0.71,9.3,37.7,63.37
2016,189754,0.74,0.26,0.97,23.52,32.02,61.7
2018,116131,0.02,0.15,0.67,54.47,54.87,84.28
2015,133416,0.7,0.56,0.9,26.38,46.27,76.33
2024,215061,0.01,0.17,0.68,68.5,11.66,60.29
2021,173305,0.54,0.18,0.16,43.28,39.35,56.28
2002,105045,0.28,0.27,0.12,17.63,60.31,82.84
2001,29399,0.29,0.07,0.85,26.56,83.02,87.83
2008,7087,0.06,0.62,0.4,46.1,90.23,98.78
2004,27930,0.48,0.84,0.55,29.16,81.36,80.94
2021,220566,0.21,0.48,0.81,54.84,26.42,56.47
2003,159119,0.44,0.34,0.95,5.0,32.58,74.65
2002,181183,0.41,0.18,0.52,5.0,35.56,56.83
2019,115051,0.37,0.79,0.73,43.86,55.55,75.81
2009,99777,0.01,0.49,0.71,40.3,55.79,71.6
2004,32267,0.73,0.32,0.67,22.46,79.86,84.75
2011,31380,0.34,0.09,0.75,51.64,88.09,90.2
2019,112848,0.01,0.57,0.4,67.9,56.08,79.93
2015,163126,0.66,0.04,0.45,28.76,41.78,63.39
2013,91462,0.22,0.16,0.37,44.8,65.54,80.85
2021,90955,0.73,0.1,0.01,59.12,74.34,80.01
2006,103925,0.16,0.43,0.54,26.15,60.82,73.15
2001,170641,0.35,0.29,0.87,5.0,28.88,59.2
2001,196084,0.11,0.63,0.71,5.0,21.61,61.68
2007,219581,0.17,0.23,0.69,15.22,22.57,55.21
2016,47035,0.88,0.96,0.76,41.07,67.13,83.34
2021,5947,0.92,0.37,0.99,73.48,89.13,91.13
2011,205477,0.69,0.61,0.09,7.72,38.22,51.13
2004,223878,0.25,0.16,0.36,5.0,19.92,51.27
2003,225699,0.76,0.12,0.26,5.0,17.13,46.7
2007,101616,0.81,0.82,0.84,13.98,54.47,71.2
2009,132201,0.93,1.0,0.16,5.0,60.47,56.3
2008,14042,0.27,0.82,0.47,49.07,82.4,97.07
2022,14247,0.21,0.38,0.83,79.27,72.72,97.43
2017,70274,0.46,0.69,0.68,52.85,72.8,79.74
2007,100271,0.92,0.96,0.83,5.0,50.89,71.42
2000,228359,0.46,0.03,0.91,5.0,10.82,51.62
2004,245990,0.9,0.24,0.03,5.0,21.9,47.0
2023,213528,0.61,0.35,0.96,42.24,21.03,53.19
2023,108831,0.99,0.89,0.85,46.75,54.59,67.47
2012,71036,0.98,0.29,0.7,33.13,70.13,80.74
2005,179501,0.51,0.45,0.89,8.26,29.09,54.67
2004,246590,0.88,1.0,0.34,5.0,10.97,48.93
2002,242575,0.76,0.11,0.66,11.87,16.14,33.32
2015,146654,0.81,0.81,0.91,26.97,49.18,63.6
2023,47161,0.4,0.99,0.61,64.0,77.56,83.58
2008,210247,0.16,0.61,0.48,5.78,20.05,63.64
2022,77169,0.44,0.12,0.52,70.77,70.24,84.68
2009,66508,0.34,0.17,0.81,38.23,69.35,83.85
2011,32432,0.78,0.64,0.29,32.66,87.04,87.27
2001,179157,0.41,0.37,0.12,5.0,39.7,55.88
2003,242403,0.11,0.53,0.98,5.0,5.03,49.04
2002,1757,0.96,0.6,0.62,14.6,95.12,100.0
2013,32094,0.14,0.39,0.45,61.84,74.42,92.05
2020,154910,0.99,0.63,0.01,31.47,44.51,61.52
2007,177839,0.16,0.86,0.48,15.54,35.93,68.86
2010,23930,0.8,0.52,0.15,38.65,98.24,88.62
2008,39493,0.07,0.19,0.65,41.74,67.98,86.83
2024,112387,0.08,0.36,0.41,68.97,46.74,80.06
2013,23801,0.25,0.19,0.14,60.86,84.0,98.81
2002,13574,0.69,0.4,0.77,24.78,90.33,89.77
2024,52536,0.09,0.55,0.36,77.5,81.04,86.75
2015,81159,0.86,0.86,0.26,39.41,60.29,79.23
2006,181411,0.32,0.65,0.9,11.57,41.26,50.37
2022,37036,0.55,0.98,0.69,55.6,82.11,93.23
2021,6689,0.25,0.96,0.87,72.43,85.91,98.07
2021,167758,0.42,0.88,0.78,46.75,36.35,64.79
2009,30252,0.41,0.35,0.22,44.63,84.8,80.75
2022,55761,0.72,0.98,0.15,50.97,86.62,72.7
2021,115416,0.09,0.99,0.49,57.42,51.3,72.12
2008,193462,0.93,0.22,0.86,5.0,26.96,50.31
2004,60094,0.72,0.72,0.66,11.28,74.24,90.44
2007,120321,0.22,0.24,0.48,21.18,61.97,82.74
2015,58879,0.69,0.21,0.31,55.11,71.65,76.47
2021,165856,0.92,0.2,0.68,47.11,36.43,51.07
2002,218925,0.6,1.0,0.84,5.0,16.81,47.01
2018,36386,0.86,0.06,0.57,56.95,78.41,98.53
2016,30617,0.31,0.86,0.17,52.08,89.39,84.8
2020,82717,0.09,0.12,0.98,62.52,54.46,89.31
2004,188646,0.75,0.17,0.31,5.0,38.3,55.19
2005,111707,0.32,0.79,0.07,12.01,69.43,78.24
2007,236013,0.12,0.39,0.27,10.02,30.05,53.01
2002,214529,0.37,0.62,0.32,5.0,24.86,52.68
2008,194898,0.23,0.03,0.56,17.41,35.48,60.75
2021,82924,0.36,0.45,0.2,66.28,70.84,79.24
2005,117521,0.31,0.36,0.18,13.32,57.42,76.17
2013,207460,0.77,0.25,0.24,16.19,25.54,55.98
2017,66313,0.29,0.73,0.51,52.46,74.18,75.38
2002,121136,0.38,0.7,0.18,5.0,58.75,73.39
2002,215933,0.75,0.56,0.36,5.0,31.23,56.42
2009,33324,0.02,0.02,0.26,56.19,99.53,94.53
2004,223553,0.78,0.01,0.21,5.0,19.14,45.92
2002,46564,0.46,0.86,0.14,12.76,93.35,90.45
2011,13793,0.54,0.3,0.97,42.42,83.16,91.44
2000,110694,0.75,0.83,0.49,5.0,55.89,66.49
2007,83689,0.59,0.86,0.26,18.29,66.41,88.44
2017,149831,0.24,0.51,0.55,40.33,48.49,72.21
2002,104573,0.77,0.21,0.3,5.0,65.43,68.31
2019,56814,0.49,0.0,0.17,62.44,76.21,89.74
2014,63911,0.64,0.6,0.41,49.27,76.24,78.31
2019,9499,0.76,0.96,0.38,53.27,89.44,96.57
2019,227299,0.2,0.48,0.24,30.01,26.58,55.24
2012,103948,0.29,0.04,0.08,36.24,60.78,78.67
2002,101633,0.41,0.43,0.89,5.19,50.89,83.78
2003,111898,0.18,0.87,0.33,12.04,62.01,75.33
2009,153496,0.13,0.88,0.59,33.05,35.67,69.39
2000,187894,0.59,0.76,0.15,5.0,40.77,53.9
2005,166479,0.92,0.8,0.04,5.0,43.21,56.29
2022,75640,0.12,0.24,0.71,70.41,65.41,88.34
2018,85771,0.6,0.31,0.07,48.58,69.22,70.5
2022,43002,0.94,0.64,0.91,50.35,75.05,75.13
2017,36601,0.24,0.16,0.57,62.43,88.34,92.81
2017,242393,0.73,0.65,0.06,14.45,17.25,49.24
2013,7899,1.0,0.71,0.06,40.31,100.0,79.51
2024,103376,0.48,0.62,0.72,63.77,57.96,78.79
2012,14807,0.02,0.94,0.89,54.36,79.22,98.98
2012,91051,0.6,0.73,0.77,32.8,66.08,71.51
2009,44078,0.57,0.94,0.74,30.36,73.89,80.85
2024,157175,0.2,0.8,0.41,56.98,38.5,73.51
2014,48465,0.64,0.93,0.06,5.05,78.59,93.49
2017,143257,0.68,0.87,0.4,30.76,47.51,74.97
2016,124514,0.28,0.18,0.51,48.14,50.1,70.98
2019,207540,0.59,0.2,0.89,36.8,18.93,46.61
2016,163842,0.49,0.66,0.83,30.42,36.99,56.99
2013,37137,0.67,0.99,0.78,42.47,78.07,91.22
2013,210204,0.18,0.79,0.14,17.36,23.54,58.31
2012,189816,0.51,0.55,0.82,15.68,18.85,57.47
2024,91708,0.81,0.95,0.61,49.33,63.38,86.92
2000,242955,0.44,0.81,0.77,5.0,5.0,40.84
2017,116199,0.36,0.74,0.33,45.57,52.11,80.45
2000,106811,0.03,0.11,0.54,9.37,58.2,69.46
2012,195035,0.64,0.25,0.46,24.5,29.39,54.98
