brand,model,year,total_complaints,cv_wellness_complaints,cv_wellness,wb_wellness_complaints,wb_wellness,brk_wellness_complaints,brk_wellness,bat_wellness_complaints,bat_wellness,alt_wellness_complaints,alt_wellness,sta_wellness_complaints,sta_wellness,coolant_wellness_complaints,coolant_wellness,ignition_wellness_complaints,ignition_wellness,fuel_wellness_complaints,fuel_wellness,drivetrain_score,electrical_score,engine_score,overall_score
Toyota,Camry,2000,538,0,100.0,3,88.6,122,5.0,10,62.0,3,88.6,3,88.6,9,65.8,10,62.0,3,88.6,64.53,79.73,72.13,72.13
Toyota,Camry,2001,334,2,92.4,0,100.0,65,5.0,4,84.8,0,100.0,0,100.0,4,84.8,11,58.2,6,77.2,65.8,94.93,73.4,78.04
Toyota,Camry,2002,1043,1,96.2,1,96.2,353,5.0,14,46.8,2,92.4,1,96.2,53,5.0,21,20.2,18,31.6,65.8,78.47,18.93,54.4
Toyota,Camry,2003,815,0,100.0,1,96.2,265,5.0,6,77.2,2,92.4,0,100.0,63,5.0,10,62.0,10,62.0,67.07,89.87,43.0,66.65
Toyota,Camry,2004,798,1,96.2,1,96.2,213,5.0,7,73.4,1,96.2,0,100.0,15,43.0,19,27.8,26,5.0,65.8,89.87,25.27,60.31
Toyota,Camry,2005,719,0,100.0,1,96.2,242,5.0,3,88.6,5,81.0,1,96.2,10,62.0,17,35.4,33,5.0,67.07,88.6,34.13,63.27
Toyota,Camry,2006,428,1,96.2,0,100.0,108,5.0,5,81.0,0,100.0,0,100.0,7,73.4,7,73.4,7,73.4,67.07,93.67,73.4,78.05
Toyota,Camry,2008,1174,0,100.0,3,88.6,230,5.0,8,69.6,1,96.2,1,96.2,15,43.0,7,73.4,15,43.0,64.53,87.33,53.13,68.33
Toyota,Camry,2009,1407,2,92.4,2,92.4,334,5.0,16,39.2,2,92.4,1,96.2,43,5.0,19,27.8,13,50.6,63.27,75.93,27.8,55.67
Toyota,Camry,2010,608,0,100.0,2,92.4,138,5.0,3,88.6,1,96.2,0,100.0,2,92.4,7,73.4,3,88.6,65.8,94.93,84.8,81.84
Toyota,Camry,2011,617,1,96.2,0,100.0,98,5.0,6,77.2,0,100.0,2,92.4,3,88.6,3,88.6,5,81.0,67.07,89.87,86.07,81.0
Toyota,Camry,2012,641,0,100.0,1,96.2,101,5.0,8,69.6,1,96.2,0,100.0,0,100.0,7,73.4,26,5.0,67.07,88.6,59.47,71.71
Toyota,Camry,2013,300,2,92.4,2,92.4,48,5.0,3,88.6,1,96.2,0,100.0,4,84.8,5,81.0,14,46.8,63.27,94.93,70.87,76.36
Toyota,Camry,2014,6,0,100.0,0,100.0,0,100.0,1,96.2,0,100.0,0,100.0,0,100.0,0,100.0,0,100.0,100.0,98.73,100.0,99.58
Toyota,Camry,2015,264,1,96.2,0,100.0,45,5.0,11,58.2,4,84.8,0,100.0,0,100.0,9,65.8,9,65.8,67.07,81.0,77.2,75.09
Toyota,Camry,2016,178,0,100.0,0,100.0,29,5.0,5,81.0,3,88.6,0,100.0,2,92.4,4,84.8,1,96.2,68.33,89.87,91.13,83.11
Toyota,Camry,2017,145,1,96.2,0,100.0,36,5.0,9,65.8,6,77.2,2,92.4,1,96.2,1,96.2,9,65.8,67.07,78.47,86.07,77.2
