brand,model,year,error
Toyota,Camry,2007,504 Server Error: Gateway Time-out for url: https://api.nhtsa.gov/complaints/complaintsByVehicle?make=Toyota&model=Camry&modelYear=2007
Toyota,Tacoma,2010,400 Client Error: Bad Request for url: https://api.nhtsa.gov/complaints/complaintsByVehicle?make=Toyota&model=Tacoma&modelYear=2010
Honda,Civic,2023,400 Client Error: Bad Request for url: https://api.nhtsa.gov/complaints/complaintsByVehicle?make=Honda&model=Civic&modelYear=2023
Honda,Civic,2024,400 Client Error: Bad Request for url: https://api.nhtsa.gov/complaints/complaintsByVehicle?make=Honda&model=Civic&modelYear=2024
Honda,Civic,2025,400 Client Error: Bad Request for url: https://api.nhtsa.gov/complaints/complaintsByVehicle?make=Honda&model=Civic&modelYear=2025
Honda,Accord,2023,400 Client Error: Bad Request for url: https://api.nhtsa.gov/complaints/complaintsByVehicle?make=Honda&model=Accord&modelYear=2023
Honda,Accord,2024,400 Client Error: Bad Request for url: https://api.nhtsa.gov/complaints/complaintsByVehicle?make=Honda&model=Accord&modelYear=2024
Honda,Accord,2025,400 Client Error: Bad Request for url: https://api.nhtsa.gov/complaints/complaintsByVehicle?make=Honda&model=Accord&modelYear=2025
Honda,Pilot,2000,400 Client Error: Bad Request for url: https://api.nhtsa.gov/complaints/complaintsByVehicle?make=Honda&model=Pilot&modelYear=2000
Honda,Pilot,2001,400 Client Error: Bad Request for url: https://api.nhtsa.gov/complaints/complaintsByVehicle?make=Honda&model=Pilot&modelYear=2001
Honda,Pilot,2002,400 Client Error: Bad Request for url: https://api.nhtsa.gov/complaints/complaintsByVehicle?make=Honda&model=Pilot&modelYear=2002
Honda,Ridgeline,2000,400 Client Error: Bad Request for url: https://api.nhtsa.gov/complaints/complaintsByVehicle?make=Honda&model=Ridgeline&modelYear=2000
Honda,Ridgeline,2001,400 Client Error: Bad Request for url: https://api.nhtsa.gov/complaints/complaintsByVehicle?make=Honda&model=Ridgeline&modelYear=2001
Honda,Ridgeline,2002,400 Client Error: Bad Request for url: https://api.nhtsa.gov/complaints/complaintsByVehicle?make=Honda&model=Ridgeline&modelYear=2002
Subaru,Crosstrek,2000,400 Client Error: Bad Request for url: https://api.nhtsa.gov/complaints/complaintsByVehicle?make=Subaru&model=Crosstrek&modelYear=2000
Subaru,Crosstrek,2001,400 Client Error: Bad Request for url: https://api.nhtsa.gov/complaints/complaintsByVehicle?make=Subaru&model=Crosstrek&modelYear=2001
Subaru,Crosstrek,2002,400 Client Error: Bad Request for url: https://api.nhtsa.gov/complaints/complaintsByVehicle?make=Subaru&model=Crosstrek&modelYear=2002
Subaru,Crosstrek,2003,400 Client Error: Bad Request for url: https://api.nhtsa.gov/complaints/complaintsByVehicle?make=Subaru&model=Crosstrek&modelYear=2003
Subaru,Crosstrek,2004,400 Client Error: Bad Request for url: https://api.nhtsa.gov/complaints/complaintsByVehicle?make=Subaru&model=Crosstrek&modelYear=2004
Subaru,Crosstrek,2005,400 Client Error: Bad Request for url: https://api.nhtsa.gov/complaints/complaintsByVehicle?make=Subaru&model=Crosstrek&modelYear=2005
Subaru,Crosstrek,2006,400 Client Error: Bad Request for url: https://api.nhtsa.gov/complaints/complaintsByVehicle?make=Subaru&model=Crosstrek&modelYear=2006
Subaru,Crosstrek,2007,400 Client Error: Bad Request for url: https://api.nhtsa.gov/complaints/complaintsByVehicle?make=Subaru&model=Crosstrek&modelYear=2007
Subaru,Crosstrek,2008,400 Client Error: Bad Request for url: https://api.nhtsa.gov/complaints/complaintsByVehicle?make=Subaru&model=Crosstrek&modelYear=2008
Subaru,Crosstrek,2009,400 Client Error: Bad Request for url: https://api.nhtsa.gov/complaints/complaintsByVehicle?make=Subaru&model=Crosstrek&modelYear=2009
Subaru,Crosstrek,2010,400 Client Error: Bad Request for url: https://api.nhtsa.gov/complaints/complaintsByVehicle?make=Subaru&model=Crosstrek&modelYear=2010
Subaru,Crosstrek,2011,400 Client Error: Bad Request for url: https://api.nhtsa.gov/complaints/complaintsByVehicle?make=Subaru&model=Crosstrek&modelYear=2011
Subaru,Crosstrek,2014,400 Client Error: Bad Request for url: https://api.nhtsa.gov/complaints/complaintsByVehicle?make=Subaru&model=Crosstrek&modelYear=2014
Subaru,Crosstrek,2015,400 Client Error: Bad Request for url: https://api.nhtsa.gov/complaints/complaintsByVehicle?make=Subaru&model=Crosstrek&modelYear=2015
Subaru,WRX,2000,400 Client Error: Bad Request for url: https://api.nhtsa.gov/complaints/complaintsByVehicle?make=Subaru&model=WRX&modelYear=2000
Subaru,WRX,2001,400 Client Error: Bad Request for url: https://api.nhtsa.gov/complaints/complaintsByVehicle?make=Subaru&model=WRX&modelYear=2001
Subaru,Ascent,2000,400 Client Error: Bad Request for url: https://api.nhtsa.gov/complaints/complaintsByVehicle?make=Subaru&model=Ascent&modelYear=2000
Subaru,Ascent,2001,400 Client Error: Bad Request for url: https://api.nhtsa.gov/complaints/complaintsByVehicle?make=Subaru&model=Ascent&modelYear=2001
Subaru,Ascent,2002,400 Client Error: Bad Request for url: https://api.nhtsa.gov/complaints/complaintsByVehicle?make=Subaru&model=Ascent&modelYear=2002
