brand,model,year,total_complaints,drivetrain_score,electrical_score,engine_score,overall_score
Toyota,Camry,2000,538,64.53,79.73,72.13,72.13
Toyota,Camry,2001,334,65.8,94.93,73.4,78.04
Toyota,Camry,2002,1043,65.8,78.47,18.93,54.4
Toyota,Camry,2003,815,67.07,89.87,43.0,66.65
Toyota,Camry,2004,798,65.8,89.87,25.27,60.31
Toyota,Camry,2005,719,67.07,88.6,34.13,63.27
Toyota,Camry,2006,428,67.07,93.67,73.4,78.05
Toyota,Camry,2008,1174,64.53,87.33,53.13,68.33
Toyota,Camry,2009,1407,63.27,75.93,27.8,55.67
Toyota,Camry,2010,608,65.8,94.93,84.8,81.84
Toyota,Camry,2011,617,67.07,89.87,86.07,81.0
Toyota,Camry,2012,641,67.07,88.6,59.47,71.71
Toyota,Camry,2013,300,63.27,94.93,70.87,76.36
Toyota,Camry,2014,6,100.0,98.73,100.0,99.58
Toyota,Camry,2015,264,67.07,81.0,77.2,75.09
Toyota,Camry,2016,178,68.33,89.87,91.13,83.11
Toyota,Camry,2017,145,67.07,78.47,86.07,77.2
Toyota,Camry,2018,698,64.53,81.0,26.53,57.35
Toyota,Camry,2019,361,68.33,84.8,36.67,63.27
Toyota,Camry,2020,255,67.07,63.27,36.67,55.67
Toyota,Camry,2021,146,77.2,97.47,92.4,89.02
Toyota,Camry,2022,46,87.33,100.0,97.47,94.93
Toyota,Camry,2023,49,86.07,98.73,94.93,93.24
Toyota,Camry,2024,41,91.13,100.0,98.73,96.62
Toyota,Camry,2025,107,73.4,89.87,100.0,87.76
Toyota,Corolla,2000,156,70.87,96.2,88.6,85.22
Toyota,Corolla,2001,138,70.87,100.0,82.27,84.38
Toyota,Corolla,2002,149,68.33,98.73,91.13,86.06
Toyota,Corolla,2003,767,62.0,94.93,73.4,76.78
Toyota,Corolla,2004,504,65.8,82.27,83.53,77.2
Toyota,Corolla,2005,937,64.53,77.2,40.47,60.73
Toyota,Corolla,2006,902,68.33,82.27,63.27,71.29
Toyota,Corolla,2007,882,63.27,77.2,48.07,62.85
Toyota,Corolla,2008,344,65.8,91.13,78.47,78.47
Toyota,Corolla,2009,1533,60.73,35.4,16.4,37.51
Toyota,Corolla,2010,1258,62.0,74.67,68.33,68.33
Toyota,Corolla,2011,589,67.07,93.67,75.93,78.89
Toyota,Corolla,2012,445,75.93,100.0,96.2,90.71
Toyota,Corolla,2013,201,64.53,96.2,89.87,83.53
Toyota,Corolla,2014,265,67.07,89.87,79.73,78.89
Toyota,Corolla,2015,215,65.8,97.47,84.8,82.69
Toyota,Corolla,2016,208,65.8,94.93,89.87,83.53
Toyota,Corolla,2017,185,67.07,94.93,88.6,83.53
Toyota,Corolla,2018,131,73.4,94.93,62.0,76.78
Toyota,Corolla,2019,196,65.8,87.33,29.07,60.73
Toyota,Corolla,2020,293,68.33,82.27,50.6,67.07
Toyota,Corolla,2021,169,72.13,92.4,63.27,75.93
Toyota,Corolla,2022,83,82.27,88.6,86.07,85.65
Toyota,Corolla,2023,68,82.27,98.73,89.87,90.29
Toyota,Corolla,2024,55,87.33,96.2,93.67,92.4
Toyota,Corolla,2025,19,93.67,100.0,100.0,97.89
Toyota,RAV4,2000,41,93.67,98.73,98.73,97.04
Toyota,RAV4,2001,323,68.33,97.47,63.27,76.36
Toyota,RAV4,2002,555,68.33,93.67,59.47,73.82
Toyota,RAV4,2003,326,68.33,92.4,58.2,72.98
Toyota,RAV4,2004,151,74.67,96.2,72.13,81.0
Toyota,RAV4,2005,141,75.93,97.47,88.6,87.33
Toyota,RAV4,2006,703,63.27,82.27,50.6,65.38
Toyota,RAV4,2007,1002,62.0,56.93,43.0,53.98
Toyota,RAV4,2008,574,64.53,70.87,55.67,63.69
Toyota,RAV4,2009,323,65.8,94.93,77.2,79.31
Toyota,RAV4,2010,398,67.07,88.6,78.47,78.05
Toyota,RAV4,2011,284,67.07,92.4,88.6,82.69
Toyota,RAV4,2012,264,68.33,87.33,81.0,78.89
Toyota,RAV4,2013,251,68.33,65.8,77.2,70.44
Toyota,RAV4,2014,191,75.93,64.53,88.6,76.35
Toyota,RAV4,2015,299,68.33,65.8,70.87,68.33
Toyota,RAV4,2016,231,67.07,72.13,87.33,75.51
Toyota,RAV4,2017,299,64.53,59.47,79.73,67.91
Toyota,RAV4,2018,319,68.33,50.6,74.67,64.53
Toyota,RAV4,2019,851,65.8,74.67,29.07,56.51
Toyota,RAV4,2020,608,68.33,65.8,46.8,60.31
Toyota,RAV4,2021,351,68.33,74.67,70.87,71.29
Toyota,RAV4,2022,116,82.27,83.53,88.6,84.8
Toyota,RAV4,2023,125,67.07,92.4,91.13,83.53
Toyota,RAV4,2024,141,67.07,86.07,96.2,83.11
Toyota,RAV4,2025,52,91.13,96.2,94.93,94.09
Toyota,Tacoma,2000,221,67.07,97.47,96.2,86.91
Toyota,Tacoma,2001,413,68.33,98.73,93.67,86.91
Toyota,Tacoma,2002,360,65.8,96.2,93.67,85.22
Toyota,Tacoma,2003,371,62.0,97.47,84.8,81.42
Toyota,Tacoma,2004,414,63.27,94.93,81.0,79.73
Toyota,Tacoma,2005,706,60.73,93.67,67.07,73.82
Toyota,Tacoma,2006,781,63.27,100.0,67.07,76.78
Toyota,Tacoma,2007,540,65.8,100.0,74.67,80.16
Toyota,Tacoma,2008,442,60.73,97.47,81.0,79.73
Toyota,Tacoma,2009,515,62.0,100.0,64.53,75.51
Toyota,Tacoma,2011,180,77.2,100.0,93.67,90.29
Toyota,Tacoma,2012,294,68.33,96.2,82.27,82.27
Toyota,Tacoma,2013,123,67.07,96.2,89.87,84.38
Toyota,Tacoma,2014,90,75.93,100.0,94.93,90.29
Toyota,Tacoma,2015,95,78.47,98.73,93.67,90.29
Toyota,Tacoma,2016,319,67.07,91.13,64.53,74.24
Toyota,Tacoma,2017,228,68.33,97.47,70.87,78.89
Toyota,Tacoma,2018,192,68.33,98.73,62.0,76.35
Toyota,Tacoma,2019,205,68.33,98.73,60.73,75.93
Toyota,Tacoma,2020,83,69.6,96.2,73.4,79.73
Toyota,Tacoma,2021,71,75.93,96.2,83.53,85.22
Toyota,Tacoma,2022,51,86.07,100.0,97.47,94.51
Toyota,Tacoma,2023,45,91.13,100.0,97.47,96.2
Toyota,Tacoma,2024,130,67.07,98.73,94.93,86.91
Toyota,Tacoma,2025,44,91.13,100.0,97.47,96.2
Toyota,4Runner,2000,494,64.53,93.67,82.27,80.16
Toyota,4Runner,2001,190,70.87,98.73,92.4,87.33
Toyota,4Runner,2002,251,67.07,97.47,88.6,84.38
Toyota,4Runner,2003,707,62.0,97.47,67.07,75.51
Toyota,4Runner,2004,677,59.47,94.93,53.13,69.18
Toyota,4Runner,2005,423,64.53,94.93,70.87,76.78
Toyota,4Runner,2006,378,64.53,97.47,79.73,80.58
Toyota,4Runner,2007,154,68.33,97.47,89.87,85.22
Toyota,4Runner,2008,96,65.8,100.0,97.47,87.76
Toyota,4Runner,2009,22,96.2,100.0,98.73,98.31
Toyota,4Runner,2010,145,73.4,97.47,97.47,89.45
Toyota,4Runner,2011,162,86.07,100.0,94.93,93.67
Toyota,4Runner,2012,96,87.33,100.0,93.67,93.67
Toyota,4Runner,2013,35,92.4,100.0,94.93,95.78
Toyota,4Runner,2014,75,89.87,100.0,86.07,91.98
Toyota,4Runner,2015,85,88.6,98.73,87.33,91.55
Toyota,4Runner,2016,75,86.07,96.2,96.2,92.82
Toyota,4Runner,2017,35,88.6,100.0,97.47,95.36
Toyota,4Runner,2018,57,88.6,98.73,84.8,90.71
Toyota,4Runner,2019,62,93.67,100.0,84.8,92.82
Toyota,4Runner,2020,31,92.4,98.73,98.73,96.62
Toyota,4Runner,2021,32,92.4,100.0,98.73,97.04
Toyota,4Runner,2022,38,91.13,100.0,100.0,97.04
Toyota,4Runner,2023,29,93.67,100.0,100.0,97.89
Toyota,4Runner,2024,8,97.47,100.0,100.0,99.16
Toyota,4Runner,2025,40,69.6,100.0,100.0,89.87
