slno,vehicle_type,brand,model,engine_type,make_year,region,mileage_range,mileage,oil_filter,engine_oil,washer_plug_drain,dust_and_pollen_filter,whell_alignment_and_balancing,air_clean_filter,fuel_filter,spark_plug,brake_fluid,brake_and_clutch_oil,transmission_fluid,brake_pads,clutch,coolant,cost,Maintenance_Type,volt_fluctuation,avg_temp,avg_rpm,avg_idle,alternator_wellness,battery_wellness,starter_motor_wellness,serpentine_belt_wellness,ignition_coils_wellness,cv_axle_wellness,wheel_bearings_wellness,fuel_pump_wellness,clutch_wellness,bushings_wellness,brake_pads_wellness,radiator_wellness,water_pump_wellness,spark_plugs_wellness,o2_sensor_wellness
1,car,honda,jazz,petrol,2017,chennai,10000,11400,1,1,0,0,1,0,0,0,0,0,0,0,0,0,2566,1,55.413514985681566,33.363510898043955,2237.431825451829,1.545976919349219,84.17045454545455,83.78181818181818,83.78181818181818,80.67272727272727,82.82517482517483,83.33766233766235,84.17045454545455,84.17045454545455,81.52066115702479,80.67272727272727,71.34545454545454,85.33636363636364,82.22727272727272,78.3409090909091,82.22727272727272
2,car,honda,jazz,petrol,2017,chennai,10000,11453,1,1,0,0,1,0,0,0,0,0,0,0,0,0,2633,1,55.413514985681566,33.363510898043955,2237.431825451829,1.545976919349219,84.14335227272727,83.75290909090909,83.75290909090909,80.62936363636365,82.79181818181817,83.30668831168832,84.14335227272727,84.14335227272727,81.48123966942148,80.62936363636365,71.25872727272728,85.31468181818182,82.19113636363637,78.28670454545454,82.19113636363637
3,car,honda,jazz,petrol,2017,chennai,10000,10706,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2643,1,55.413514985681566,33.363510898043955,2237.431825451829,1.545976919349219,84.52534090909091,84.16036363636363,84.16036363636363,81.24054545454545,83.26195804195805,83.74324675324675,84.52534090909091,84.52534090909091,82.03685950413224,81.24054545454545,72.48109090909091,85.62027272727273,82.70045454545455,79.05068181818183,82.70045454545455
4,car,honda,jazz,petrol,2017,chennai,10000,11015,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2532,1,55.413514985681566,33.363510898043955,2237.431825451829,1.545976919349219,84.36732954545454,83.99181818181818,83.99181818181818,80.98772727272728,83.06748251748252,83.56266233766233,84.36732954545454,84.36732954545454,81.80702479338842,80.98772727272728,71.97545454545454,85.49386363636363,82.48977272727274,78.73465909090908,82.48977272727274
5,car,honda,jazz,petrol,2017,chennai,10000,10039,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2489,1,55.413514985681566,33.363510898043955,2237.431825451829,1.545976919349219,84.86642045454546,84.52418181818183,84.52418181818183,81.78627272727273,83.68174825174826,84.13305194805196,84.86642045454546,84.86642045454546,82.53297520661158,81.78627272727273,73.57254545454546,85.89313636363637,83.15522727272727,79.73284090909091,83.15522727272727
6,car,honda,jazz,petrol,2017,chennai,10000,10348,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2578,1,55.413514985681566,33.363510898043955,2237.431825451829,1.545976919349219,84.7084090909091,84.35563636363636,84.35563636363636,81.53345454545455,83.48727272727272,83.95246753246752,84.7084090909091,84.7084090909091,82.30314049586778,81.53345454545455,73.06690909090909,85.76672727272728,82.94454545454546,79.41681818181819,82.94454545454546
7,car,honda,jazz,petrol,2017,chennai,10000,10936,1,1,0,0,1,0,0,0,0,0,0,0,0,0,2631,1,55.413514985681566,33.363510898043955,2237.431825451829,1.545976919349219,84.40772727272727,84.0349090909091,84.0349090909091,81.05236363636364,83.11720279720281,83.60883116883117,84.40772727272727,84.40772727272727,81.86578512396694,81.05236363636364,72.10472727272729,85.52618181818183,82.54363636363637,78.81545454545454,82.54363636363637
8,car,honda,jazz,petrol,2017,chennai,10000,10355,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2639,1,55.413514985681566,33.363510898043955,2237.431825451829,1.545976919349219,84.70482954545454,84.35181818181817,84.35181818181817,81.52772727272726,83.48286713286714,83.94837662337662,84.70482954545454,84.70482954545454,82.29793388429752,81.52772727272726,73.05545454545455,85.76386363636364,82.93977272727273,79.40965909090909,82.93977272727273
9,car,honda,jazz,petrol,2017,chennai,10000,11028,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2703,1,55.413514985681566,33.363510898043955,2237.431825451829,1.545976919349219,84.36068181818182,83.98472727272728,83.98472727272728,80.9770909090909,83.05930069930069,83.55506493506495,84.36068181818182,84.36068181818182,81.79735537190084,80.9770909090909,71.95418181818182,85.48854545454546,82.4809090909091,78.72136363636363,82.4809090909091
10,car,honda,jazz,petrol,2017,chennai,10000,10843,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2539,1,55.413514985681566,33.363510898043955,2237.431825451829,1.545976919349219,84.4552840909091,84.08563636363637,84.08563636363637,81.12845454545455,83.17573426573426,83.66318181818183,84.4552840909091,84.4552840909091,81.93495867768596,81.12845454545455,72.25690909090909,85.56422727272728,82.60704545454546,78.91056818181819,82.60704545454546
11,car,honda,jazz,petrol,2017,chennai,10000,10686,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2597,1,55.413514985681566,33.363510898043955,2237.431825451829,1.545976919349219,84.53556818181819,84.17127272727274,84.17127272727274,81.25690909090909,83.27454545454546,83.75493506493507,84.53556818181819,84.53556818181819,82.05173553719008,81.25690909090909,72.5138181818182,85.62845454545456,82.71409090909091,79.07113636363637,82.71409090909091
12,car,honda,jazz,petrol,2017,chennai,10000,10573,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2583,1,55.413514985681566,33.363510898043955,2237.431825451829,1.545976919349219,84.59335227272729,84.23290909090909,84.23290909090909,81.34936363636363,83.34566433566434,83.82097402597404,84.59335227272729,84.59335227272729,82.13578512396695,81.34936363636363,72.69872727272728,85.67468181818182,82.79113636363637,79.18670454545455,82.79113636363637
13,car,honda,jazz,petrol,2017,chennai,10000,10992,1,1,1,0,0,0,0,0,0,0,0,0,0,0,2633,1,55.413514985681566,33.363510898043955,2237.431825451829,1.545976919349219,84.3790909090909,84.00436363636365,84.00436363636365,81.00654545454545,83.08195804195805,83.5761038961039,84.3790909090909,84.3790909090909,81.82413223140496,81.00654545454545,72.0130909090909,85.50327272727274,82.50545454545454,78.75818181818182,82.50545454545454
14,car,honda,jazz,petrol,2017,chennai,10000,10376,1,1,1,0,0,0,0,0,0,0,0,0,0,0,2643,1,55.413514985681566,33.363510898043955,2237.431825451829,1.545976919349219,84.6940909090909,84.34036363636363,84.34036363636363,81.51054545454545,83.46965034965035,83.93610389610389,84.6940909090909,84.6940909090909,82.28231404958677,81.51054545454545,73.02109090909092,85.75527272727273,82.92545454545454,79.38818181818182,82.92545454545454
15,car,honda,jazz,petrol,2017,chennai,10000,11009,1,1,1,0,1,0,0,0,0,0,0,0,0,0,2532,1,55.413514985681566,33.363510898043955,2237.431825451829,1.545976919349219,84.37039772727272,83.9950909090909,83.9950909090909,80.99263636363638,83.07125874125875,83.56616883116884,84.37039772727272,84.37039772727272,81.81148760330579,80.99263636363638,71.98527272727273,85.49631818181818,82.49386363636364,78.74079545454546,82.49386363636364
16,car,honda,jazz,petrol,2017,chennai,10000,10048,1,1,1,0,0,0,0,0,0,0,0,0,0,0,2489,1,55.413514985681566,33.363510898043955,2237.431825451829,1.545976919349219,84.8618181818182,84.51927272727272,84.51927272727272,81.7789090909091,83.67608391608393,84.12779220779221,84.8618181818182,84.8618181818182,82.52628099173553,81.7789090909091,73.55781818181819,85.88945454545454,83.14909090909092,79.72363636363636,83.14909090909092
17,car,honda,jazz,petrol,2017,chennai,10000,10623,1,1,1,0,0,0,0,0,0,0,0,0,0,0,2578,1,55.413514985681566,33.363510898043955,2237.431825451829,1.545976919349219,84.5677840909091,84.20563636363637,84.20563636363637,81.30845454545455,83.3141958041958,83.79175324675325,84.5677840909091,84.5677840909091,82.09859504132231,81.30845454545455,72.61690909090909,85.65422727272727,82.75704545454546,79.13556818181817,82.75704545454546
